Open,High,Low,Close
3.55,3.55,2.71,3.4
3.25,3.3,3.1,3.21
3.29,3.46,3.22,3.39
3.36,3.44,3.32,3.39
3.44,3.49,3.37,3.39
3.34,3.41,3.3,3.39
3.38,3.44,3.35,3.38
3.38,3.4,3.23,3.24
3.29,3.34,3.23,3.24
3.24,3.27,3.19,3.2
3.22,3.24,3.12,3.16
3.26,3.26,3.16,3.18
3.2,3.2,3.15,3.15
3.14,3.16,3.1,3.13
3.03,3.12,3.03,3.08
3.06,3.12,2.99,3
3.15,3.16,3.05,3.05
3.07,3.07,3,3.06
3.04,3.07,3,3.04
2.92,3.06,2.92,3
3,3.07,3,3
3.01,3.1,3,3.05
3.13,3.54,3.13,3.41
3.4,3.4,3.21,3.24
3.32,3.34,3.23,3.27
3.4,3.54,3.4,3.41
3.36,3.36,3.17,3.2
3.27,3.27,3.15,3.2
3.2,3.56,3.2,3.35
3.44,3.55,3.4,3.41
3.6,3.65,3.41,3.51
3.45,3.6,3.37,3.43
3.41,3.47,3.4,3.42
3.36,3.4,3.3,3.36
3.4,3.4,3.13,3.19
3.19,3.26,3.15,3.26
3.35,3.35,3.25,3.3
3.1,3.26,2.94,3.25
3.3,3.38,3.22,3.26
3.25,3.26,3.07,3.26
3.2,3.2,3.12,3.2
3.2,3.28,3.16,3.16
3.2,3.24,3.02,3.03
3.1,3.12,3.1,3.1
3.2,3.2,3.02,3.19
3.24,3.25,3.15,3.17
3.2,3.2,3.1,3.1
3.18,3.2,3.02,3.1
3.1,3.14,3.1,3.13
3,3.1,3,3.06
3.19,3.2,3,3.02
3.1,3.1,3,3.06
3,3.1,3,3
3,3,3,3
3.11,3.11,3.01,3.01
3.02,3.08,3,3.02
2.95,3.1,2.95,3
3.05,3.05,2.9,3
3.1,3.1,2.8,2.99
2.91,2.91,2.84,2.88
2.82,2.9,2.8,2.9
2.94,2.96,2.85,2.85
2.9,2.9,2.84,2.88
2.85,2.87,2.8,2.84
3.04,3.54,3.04,3.51
3.5,3.5,3.12,3.32
3.49,3.49,3.2,3.27
3.69,3.69,3.3,3.3
3.59,3.6,3.2,3.2
2.94,3.2,2.94,3.15
3.1,3.19,3,3
3,3.05,2.8,2.89
3.02,3.02,2.9,2.9
2.92,3.02,2.8,2.84
2.99,2.99,2.82,2.83
2.84,2.85,2.77,2.79
2.9,2.9,2.78,2.8
2.88,2.88,2.75,2.83
2.8,2.82,2.74,2.8
2.7,2.76,2.6,2.62
2.75,2.77,2.6,2.68
2.8,2.86,2.8,2.8
2.65,2.8,2.65,2.79
2.79,2.8,2.61,2.65
2.74,2.74,2.61,2.61
2.69,2.7,2.65,2.65
2.65,2.68,2.63,2.63
2.64,2.7,2.6,2.62
2.61,2.62,2.6,2.62
2.6,2.65,2.6,2.64
2.6,2.7,2.6,2.6
2.61,2.61,2.54,2.59
2.6,2.64,2.52,2.64
2.6,2.69,2.6,2.67
2.76,2.76,2.62,2.64
2.65,2.71,2.6,2.65
2.6,2.65,2.6,2.6
2.5,2.6,2.46,2.47
2.6,2.6,2.5,2.5
2.6,2.6,2.5,2.59
2.6,2.73,2.5,2.52
2.74,2.74,2.54,2.54
2.74,2.74,2.6,2.61
2.6,2.73,2.6,2.66
2.54,2.75,2.54,2.75
2.7,2.8,2.7,2.79
2.84,2.9,2.71,2.71
2.71,2.76,2.7,2.71
2.76,2.8,2.66,2.68
2.66,2.85,2.65,2.7
2.71,2.9,2.71,2.9
2.9,2.9,2.8,2.9
2.89,3.08,2.89,3.08
3.17,3.25,3,3.03
3,3.04,2.9,2.9
2.9,2.98,2.84,2.85
