Open,High,Low,Close
1.58984,1.59336,1.58203,1.59336
1.58984,1.59766,1.58691,1.58691
1.59766,1.59766,1.59766,1.59766
1.58203,1.58984,1.58203,1.58711
1.56836,1.56836,1.56836,1.56836
1.56836,1.58203,1.57031,1.57813
1.57813,1.5625,1.54297,1.56055
1.56055,1.55078,1.54297,1.54688
1.55859,1.58203,1.54688,1.58203
1.57422,1.57422,1.5625,1.57324
1.55273,1.57031,1.55273,1.55566
1.55566,1.5625,1.42578,1.5625
1.5625,1.56641,1.54297,1.54766
1.54766,1.55273,1.53906,1.55273
1.54297,1.54297,1.53613,1.53711
1.54297,1.55273,1.54297,1.55273
1.53516,1.5625,1.53516,1.54785
1.54785,1.54102,1.50586,1.54102
1.54199,1.54199,1.53516,1.53516
1.53125,1.53125,1.52637,1.52637
1.52637,1.55078,1.54297,1.54492
1.54492,1.5625,1.53516,1.5625
1.5625,1.62109,1.5625,1.62109
1.62109,1.67969,1.62109,1.67949
1.67949,1.68359,1.64082,1.67969
1.67969,1.76758,1.67969,1.71875
1.71875,1.6875,1.66797,1.67305
1.69922,1.77734,1.69922,1.77734
1.77734,1.85547,1.66016,1.84512
1.84512,1.87109,1.81641,1.82422
1.875,1.91406,1.875,1.91406
1.91406,2.00195,1.90234,1.98633
1.98633,2.01172,1.91406,2.00508
2.00508,2.03125,1.93066,2.01074
2.01074,1.97266,1.96484,1.96914
1.96914,1.96289,1.9375,1.93789
1.93789,1.94531,1.92246,1.92285
1.92285,1.94141,1.92188,1.94141
1.94141,1.95313,1.93262,1.95313
1.95313,1.9043,1.85547,1.85547
1.85547,1.85938,1.85938,1.85938
1.85938,1.83594,1.82813,1.83203
1.83203,1.85547,1.79688,1.8457
1.85547,1.875,1.85547,1.875
1.90586,1.90586,1.82227,1.82227
1.82227,1.875,1.83574,1.875
1.875,1.89043,1.85938,1.89043
1.89043,1.875,1.86348,1.87109
1.87109,1.875,1.83594,1.875
1.875,1.85625,1.83008,1.83008
1.83008,1.875,1.87402,1.875
1.875,1.86738,1.86719,1.86719
1.86719,1.875,1.86719,1.86992
1.86992,1.875,1.85547,1.875
1.875,1.88945,1.86914,1.86914
1.86914,1.90234,1.88301,1.89336
1.89336,1.87461,1.8418,1.87109
1.87109,1.86719,1.84609,1.84609
1.84609,1.875,1.85938,1.85938
1.85938,1.89863,1.89453,1.89863
1.89863,1.96855,1.91406,1.96465
1.96465,1.97266,1.94922,1.97266
1.97266,1.98047,1.95703,1.95703
1.95703,1.95313,1.95313,1.95313
1.95313,1.96445,1.95313,1.96445
1.96445,2.07031,1.97656,2.06445
2.06445,2.27344,2.16816,2.17773
2.17773,2.17188,2.12891,2.15234
2.15234,2.1875,2.14082,2.18516
2.18516,2.34375,2.1875,2.32031
2.32031,2.44141,2.30469,2.41328
2.41328,2.55859,2.42188,2.53164
2.53164,2.63633,2.46289,2.50352
2.50352,2.54297,2.4707,2.48438
2.48438,2.48047,2.42188,2.42578
2.42578,2.44141,2.40234,2.43594
2.43594,2.53906,2.46484,2.48457
2.48457,2.51367,2.48066,2.48086
2.48086,2.51563,2.44648,2.4748
2.4748,2.46875,2.44883,2.45703
2.45703,2.47949,2.44727,2.46289
2.46289,2.47266,2.45703,2.46289
2.46289,2.57813,2.47656,2.50781
2.50781,2.53125,2.48047,2.50879
2.50879,2.53418,2.49023,2.525
2.525,2.53906,2.50098,2.53906
2.53906,2.59375,2.51953,2.57305
2.57305,2.75195,2.52754,2.64199
2.64199,2.70898,2.55859,2.68652
2.68652,2.7291,2.66055,2.68496
2.68496,2.69492,2.63281,2.67168
2.67168,2.69023,2.60938,2.63633
2.63633,2.70703,2.66016,2.66328
2.66328,2.69688,2.58984,2.62246
2.62246,2.61719,2.58398,2.58652
2.58652,2.625,2.57227,2.60254
2.60254,2.61719,2.5957,2.5957
2.5957,2.58691,2.56074,2.57754
2.57754,2.58594,2.54297,2.58203
2.58203,2.55859,2.53223,2.53223
2.53223,2.55859,2.5,2.55469
2.55469,2.58887,2.56348,2.58887
2.58887,2.55859,2.52051,2.53984
2.53984,2.53906,2.52344,2.52734
2.52734,2.60547,2.57227,2.60332
2.60332,2.61992,2.59766,2.61992
2.62305,2.63281,2.60938,2.61133
2.63672,2.66406,2.63672,2.66406
2.66309,2.70313,2.65664,2.70234
2.78496,2.78496,2.74219,2.7502
2.73438,2.76172,2.71914,2.75703
2.77344,2.80859,2.76563,2.77383
2.75391,2.77305,2.73438,2.76152
2.76934,2.77734,2.75781,2.77344
2.8125,2.81641,2.77344,2.77344
2.74414,2.8125,2.73438,2.76348
2.77344,2.77344,2.77344,2.77344
2.73438,2.77344,2.73438,2.75391
2.75781,2.77344,2.75391,2.75391
2.73438,2.73438,2.71484,2.72422
2.71133,2.72266,2.70742,2.7207
2.73418,2.77734,2.71484,2.77148
2.73047,2.77344,2.72852,2.77031
2.76953,2.76953,2.74824,2.76172
2.77344,2.78125,2.75684,2.76563
2.75391,2.77344,2.75391,2.76055
2.73828,2.77305,2.72461,2.74531
2.73047,2.75391,2.69824,2.73438
2.73438,2.73438,2.72656,2.72656
2.72656,2.73438,2.70996,2.70996
2.73047,2.73047,2.69531,2.71484
2.72656,2.77344,2.72656,2.77344
2.77344,2.79395,2.75781,2.75859
2.77305,2.78516,2.7584,2.76914
2.76367,2.76367,2.74609,2.74609
2.71914,2.71914,2.67578,2.70195
2.71484,2.71582,2.69531,2.71582
2.73438,2.73438,2.70117,2.72754
2.75391,2.75391,2.73438,2.73438
2.73438,2.73438,2.69922,2.71074
2.67578,2.67578,2.57031,2.67578
2.67188,2.73438,2.66406,2.71523
2.72617,2.72656,2.66406,2.67969
2.69141,2.69531,2.66211,2.66211
2.65625,2.65625,2.48438,2.49805
2.50801,2.57813,2.50801,2.57813
2.61719,2.73438,2.61719,2.73418
2.75,2.75,2.69531,2.69531
2.69531,2.69531,2.67188,2.67559
2.65625,2.71094,2.65625,2.68711
2.63672,2.65625,2.63672,2.64824
2.67539,2.69531,2.67383,2.69141
2.67578,2.67578,2.65625,2.66094
2.64473,2.65625,2.62109,2.62383
2.60547,2.61719,2.60352,2.60352
2.61719,2.62109,2.61719,2.62109
2.55898,2.55898,2.46875,2.53125
2.48828,2.52734,2.48438,2.48633
2.48438,2.5,2.48438,2.48438
2.48438,2.51953,2.48418,2.51426
2.53516,2.53906,2.51563,2.51563
2.55273,2.56992,2.54688,2.56836
2.61719,2.61719,2.55078,2.55898
2.52344,2.57813,2.52344,2.56797
2.57813,2.60938,2.55859,2.55859
2.57813,2.625,2.57813,2.59414
2.63672,2.63672,2.61719,2.61719
2.66035,2.66035,2.61523,2.61621
2.60938,2.60957,2.59023,2.59023
2.60547,2.61855,2.60547,2.61855
2.63281,2.63281,2.62109,2.63281
2.625,2.73438,2.61719,2.69531
2.66406,2.67578,2.625,2.625
2.60156,2.61719,2.60156,2.61211
2.58203,2.60156,2.58203,2.58984
2.59297,2.59336,2.59297,2.59336
2.56445,2.58984,2.56445,2.57852
2.57031,2.57813,2.57031,2.57813
2.6168,2.6168,2.55859,2.57754
2.59375,2.61719,2.59375,2.59375
2.59375,2.61719,2.59375,2.61719
2.61719,2.625,2.61719,2.61816
2.57813,2.65625,2.57813,2.63867
2.59805,2.6209,2.59766,2.61719
2.61719,2.63242,2.61719,2.62559
2.60938,2.60938,2.59805,2.59805
2.55859,2.59375,2.55859,2.59375
2.57031,2.58789,2.55859,2.57617
2.55859,2.5625,2.51953,2.51953
2.48047,2.53809,2.47461,2.53809
2.48438,2.51934,2.48242,2.50977
2.49805,2.49805,2.43359,2.44941
2.42578,2.48438,2.41895,2.46875
2.45313,2.53906,2.45313,2.53594
2.67578,2.71094,2.61719,2.65762
2.69531,2.69531,2.65723,2.67207
2.65625,2.65625,2.61719,2.62109
2.62773,2.63477,2.56641,2.58535
2.60938,2.61719,2.59766,2.61191
2.61719,2.61719,2.59766,2.60918
2.61719,2.61719,2.60742,2.61035
2.68711,2.71484,2.68555,2.69922
2.75391,2.77344,2.71484,2.73047
2.8125,2.8125,2.6959,2.69668
2.65625,2.69141,2.65625,2.69121
2.69531,2.69531,2.65645,2.68477
2.56367,2.69922,2.56367,2.69004
2.66406,2.67188,2.60156,2.65586
2.65586,2.67578,2.65586,2.67578
2.61758,2.65625,2.61758,2.65625
2.62324,2.66406,2.62324,2.65625
2.63633,2.65625,2.63633,2.65625
2.67578,2.69473,2.67578,2.69473
2.73027,2.73027,2.71113,2.71113
2.69922,2.69922,2.67715,2.67715
2.6877,2.71484,2.6877,2.71484
2.71484,2.74219,2.71484,2.72715
2.73438,2.73438,2.73438,2.73438
2.73047,2.7334,2.71543,2.72207
2.71504,2.75781,2.71504,2.73906
2.72676,2.74219,2.72676,2.74219
2.73828,2.73828,2.73047,2.73047
2.73047,2.73438,2.73047,2.73242
2.69531,2.71094,2.69531,2.71094
2.70313,2.71094,2.7,2.7
2.68711,2.69922,2.68711,2.69727
2.69531,2.71484,2.69531,2.70996
2.67676,2.71484,2.67676,2.71484
2.69531,2.71484,2.6832,2.71348
2.73438,2.73438,2.67969,2.67969
2.63672,2.65625,2.63672,2.65586
2.57813,2.64844,2.57813,2.64805
2.64883,2.69531,2.64844,2.69531
2.69531,2.69531,2.69531,2.69531
2.66406,2.69023,2.66406,2.68535
2.73438,2.75391,2.73047,2.75195
2.74219,2.75391,2.74219,2.75391
2.73438,2.75391,2.73438,2.75391
2.75391,2.77305,2.75391,2.76797
2.78125,2.80469,2.77363,2.79961
2.90625,2.90625,2.85156,2.87109
2.91016,2.92969,2.87539,2.92969
2.94531,2.98047,2.92969,2.98047
2.98828,3,2.97266,2.98828
2.95313,3.00781,2.95313,2.96875
3.02344,3.02734,3.02344,3.02734
3.04688,3.04688,3.00781,3.00781
3.08594,3.16406,3.08594,3.08633
3.12461,3.14063,3.08984,3.11484
3.09004,3.12109,3.09004,3.10938
3.16016,3.16016,3.125,3.125
3.08613,3.13672,3.08613,3.13164
3.16406,3.16406,3.1252,3.13125
3.125,3.16211,3.125,3.16191
3.20117,3.24219,3.18359,3.20723
3.2418,3.25352,3.23086,3.25352
3.26172,3.26172,3.23066,3.25723
3.35352,3.39844,3.35156,3.39805
3.45703,3.45703,3.16875,3.16875
3.18359,3.24219,3.18359,3.24219
3.26543,3.28906,3.22656,3.22656
3.16426,3.21875,3.14453,3.15508
3.20703,3.26758,3.1875,3.26758
3.22695,3.22695,3.19141,3.19629
3.34336,3.39844,3.32031,3.32031
3.27344,3.27344,3.23066,3.24922
3.26953,3.26953,3.26953,3.26953
3.23438,3.25586,3.22754,3.23496
3.23047,3.26172,3.23047,3.25781
3.23047,3.28125,3.23047,3.26211
3.26172,3.36719,3.26172,3.27246
3.39453,3.39746,3.33984,3.33984
3.30078,3.35156,3.30078,3.33984
3.36719,3.37891,3.36719,3.36719
3.39844,3.39844,3.37891,3.38281
3.39844,3.47656,3.39453,3.47637
3.53516,3.53516,3.46191,3.51563
3.51211,3.52734,3.50391,3.5248
3.70684,3.70684,3.49609,3.49746
3.57422,3.57422,3.49609,3.51934
3.51172,3.53496,3.49609,3.50957
3.36523,3.55469,3.36523,3.55469
3.54688,3.5625,3.53516,3.55488
3.53535,3.59766,3.53535,3.59766
3.54297,3.55469,3.53555,3.5373
3.55469,3.61328,3.53945,3.57871
3.59375,3.6875,3.59375,3.68105
3.67246,3.74805,3.67188,3.74805
3.94531,4.01953,3.94531,4.00781
4.52734,4.58867,4.375,4.58848
4.58945,4.58984,4.35547,4.43965
4.6875,4.6875,4.41426,4.47461
4.59277,4.60938,4.16797,4.26406
3.98438,4.14453,3.98438,3.98457
4.10156,4.10156,3.83203,3.92129
4.0625,4.10156,3.9707,4.04844
4.05859,4.14063,4.05469,4.08203
4.08203,4.13867,4.07031,4.07227
3.87891,4.11719,3.87891,4.0625
4.07051,4.08203,3.94531,3.99766
4.05469,4.0625,3.99609,4.00313
3.76992,4.01953,3.76992,4.00391
3.99609,4.00391,3.94551,3.99609
4.00391,4.16016,3.97871,4.10371
4.04336,4.14453,4.04336,4.14453
4.23027,4.29688,4.18359,4.29512
3.99453,3.99453,3.99453,3.99453
3.71113,4.04277,3.71094,3.94375
4.10156,4.20703,4.10156,4.19688
4.21875,4.46484,4.21875,4.4166
4.72578,4.72578,4.52344,4.72578
4.72852,4.72852,4.72852,4.72852
5.05938,5.05938,4.92773,4.95918
4.94531,4.96094,4.6123,4.67051
4.48477,4.66797,4.46875,4.64805
4.70703,4.78516,4.6875,4.75996
4.7875,4.84375,4.76758,4.83828
4.90234,4.99414,4.90234,4.98398
5,5.09766,5,5.07832
5.05469,5.05859,5.02344,5.05801
5.08906,5.08906,5.04336,5.07031
5.04336,5.17578,5.04336,5.16641
5.1875,5.52813,5.13672,5.52734
5.58594,5.82031,5.25391,5.5002
5.625,5.85156,5.625,5.67031
5.64063,5.66211,5.54688,5.60703
5.55078,5.59766,5.47266,5.49297
