Open,High,Low,Close
7.5,8.43,7.25,8.055
8.225,8.39,7.775,7.81
7.235,7.5,7.235,7.365
7.4,7.5,7.255,7.395
6.905,7.08,6.885,6.885
6.5,6.5,6.34,6.34
6.35,6.81,6.35,6.54
6.7,6.95,6.7,6.85
6.995,7,6.7,6.865
6.425,7.2,6.42,7.005
7.28,7.28,7.05,7.115
7.3,7.3,6.9,6.915
7.3,7.3,6.9,6.92
7.04,7.075,6.905,7.005
7.01,7.045,6.44,6.47
6.61,6.84,6.6,6.745
6.7,6.9,6.7,6.86
6.98,6.98,6.335,6.56
6.79,6.8,6.54,6.67
6.59,6.7,6.405,6.42
6.5,6.54,6.385,6.43
6.615,6.615,6.3,6.375
6.495,6.495,6.26,6.315
6.4,6.4,6.11,6.165
6.375,6.38,6.27,6.285
6.3,6.445,6.3,6.395
6.6,6.6,6.405,6.515
6.5,6.55,6.41,6.425
6.75,6.75,6.335,6.35
6.62,6.7,6.575,6.625
6.7,6.84,6.58,6.64
6.69,6.9,6.48,6.585
6.6,6.61,6.41,6.445
6.6,6.625,6.46,6.475
6.4,6.525,6.315,6.36
6.5,6.5,6.26,6.3
6.475,6.5,6.305,6.335
6.435,6.785,6.355,6.61
6.825,7.13,6.825,7.125
7.7,7.7,7.17,7.7
7.98,8.32,7.98,8.32
8.7,8.95,8.02,8.795
8.75,9.3,8.445,8.79
9.2,9.45,9.005,9.125
9.1,9.185,8.67,8.97
9.48,9.59,8.855,9
9,9,8.68,8.775
8.9,9.435,8.68,9.435
9.88,10.1,9.3,9.65
9.475,9.73,9.315,9.345
9.3,9.7,9.2,9.265
9.4,9.565,8.91,9.3
9.7,10.05,9.5,10.05
10.49,10.855,10.275,10.855
10.91,11,10.1,10.155
10.25,10.435,9.8,10.165
10.5,10.955,10.5,10.955
11.005,11.55,11.005,11.37
11.595,12,10.94,11.765
11.99,12,11.05,11.155
11.1,11.685,10.9,11.39
12,12.315,11.805,12.305
12.935,12.935,11.9,12.04
12.29,12.385,11.675,11.745
11.7,11.8,10.865,11.09
11,11.49,10.6,11.215
11.3,12.1,10.905,11.38
11.3,11.6,10.54,10.565
10.49,10.565,9.725,9.875
9.3,9.795,9.09,9.09
9.2,9.2,8.375,8.97
9.04,9.43,8.805,8.915
8.89,9,8.6,8.81
9,9.2,8.7,9.145
9.425,9.77,9.21,9.505
9.705,9.925,9.035,9.125
9.105,9.39,9.01,9.05
9.2,9.325,9.12,9.18
9.31,9.47,9.245,9.31
9.63,10.32,9.325,10.075
10.3,10.525,9.825,9.895
11.8,11.8,9.205,9.28
9.47,9.605,9.175,9.415
9.42,9.6,9,9.185
9.69,11.025,9.69,10.885
11.295,11.525,10.7,10.93
11.08,11.46,10.905,11.025
10.95,12.09,10.8,11.51
11.4,11.475,10.43,10.535
10.6,11.45,10.41,11.2
12.4,12.4,10.8,11.175
11.2,11.35,10.71,10.825
11.18,11.195,10.7,10.815
10.98,11.15,10.73,10.91
11,11,10.565,10.65
10.77,10.87,10.59,10.625
10.65,10.65,10.035,10.32
10.39,10.59,10.31,10.515
10.65,10.74,10.41,10.455
10.5,10.5,10.22,10.275
10.1,10.9,10.1,10.46
10.595,10.85,10.5,10.56
10.65,10.67,10.15,10.24
10.39,10.465,10.165,10.305
10.41,10.5,10.21,10.27
10.35,10.895,10.265,10.485
10.675,10.865,10.36,10.435
10.595,10.6,10.33,10.44
10.425,10.495,10.215,10.285
10.11,10.78,10.11,10.6
10.6,11.4,10.535,10.875
10.78,12.25,10.78,11.99
12.45,12.64,11.8,11.925
11.95,12.49,11.69,12.27
12.6,13.58,12.6,13.105
13.4,13.59,12.78,13.02
13.2,13.4,12.51,12.62
12.745,13.005,11.215,11.38
11.49,12.05,11.4,11.94
12.2,12.38,12.045,12.13
12.25,12.6,12.2,12.32
12.5,12.58,12.1,12.15
12.1,12.45,11.965,12.16
12.345,12.5,12.005,12.045
12.2,12.32,11.88,11.95
12.08,12.19,11.52,11.57
11.53,11.79,11.5,11.605
11.745,12.685,11.635,12.135
12.39,12.39,11.91,12.135
12.285,12.49,12.1,12.165
12.3,12.345,11.81,11.88
12,12,11.6,11.685
11.75,11.89,11.65,11.715
11.75,11.75,11.4,11.44
11.7,11.7,11.325,11.415
11.85,11.85,11.315,11.385
11.5,11.79,11.36,11.66
11.83,11.875,11.65,11.695
11.75,12.57,11.725,12.055
12.105,13.1,12,12.95
13.2,13.25,12.455,12.58
12.69,13.15,12.6,12.905
13.05,13.34,12.555,12.655
12.775,12.775,12.315,12.41
12.5,13,12.4,12.735
12.97,13,12.655,12.715
12.695,13.78,12.695,13.455
15.5,15.5,13.23,13.36
13.5,14.425,13.07,14.255
14.68,14.76,13.81,13.925
14.15,14.2,13.605,13.795
13.9,13.965,13.3,13.435
13.605,13.93,13.5,13.72
13.825,13.825,13.505,13.655
13.8,14.9,13.675,14.645
14.7,14.99,14.025,14.185
14.3,14.5,13.91,14.13
14.3,14.3,13.7,13.81
13.95,14.325,13.825,14.245
14.325,14.5,14.01,14.07
14.22,14.39,14,14.04
14.2,14.28,13.9,14
14.09,14.15,13.63,13.7
13.945,13.945,13.505,13.625
13.86,13.99,13.49,13.545
13.675,13.89,13.5,13.81
13.84,13.985,13.55,13.675
13.67,13.74,13.5,13.56
13.6,13.85,13.05,13.1
13.295,13.35,12.72,12.805
12.8,12.8,12.1,12.44
12.5,12.59,11.51,11.725
11.61,11.61,10.7,10.91
11,11.6,10.875,11.39
11.445,11.495,11.225,11.275
11.69,12.09,11.6,12.01
12.19,12.19,11.75,11.865
11.51,11.73,10.11,11.28
11.5,11.7,11.29,11.515
11.52,11.9,11.485,11.525
11.515,11.525,11.275,11.32
11.725,11.725,11.505,11.595
11.7,11.88,11.505,11.75
11.8,11.985,11.69,11.86
12,12.2,11.85,11.925
11.85,11.86,11.425,11.535
11.85,11.88,11.7,11.755
11.9,12.2,11.9,12.085
12.1,12.5,12,12.18
12.08,12.39,11.6,11.765
11.7,12.1,11.51,11.675
11.77,11.9,11.62,11.675
11.91,11.91,11.505,11.54
11.75,11.925,11.325,11.86
11.87,11.87,11.575,11.655
11.74,11.835,11.6,11.77
11.84,11.89,11.645,11.785
11.8,11.83,11.61,11.62
11.5,11.68,11.4,11.43
11.675,11.7,11.45,11.575
11.765,11.765,10.89,11.075
11.295,11.44,11.2,11.225
11.005,11.45,11.005,11.29
11.345,11.47,11.25,11.395
11.45,12.475,11.39,12.345
12.6,12.875,12.21,12.285
12.49,12.6,12.2,12.3
12.3,12.6,12.11,12.42
12.485,12.485,12.075,12.105
12.19,12.245,11.91,12.065
12.14,12.28,11.715,11.81
11.8,11.88,11.515,11.635
11.62,11.785,11.505,11.545
